Type,ILCR_mean,ILCR_0.05,ILCR_0.25,ILCR_0.5,ILCR_0.75,ILCR_0.95,HQ_mean,HQ_0.05,HQ_0.25,HQ_0.5,HQ_0.75,HQ_0.95
"salts, Cr_6",5.111751247420911e-08,4.714506355397447e-09,2.4656060428462036e-08,4.118069928399899e-08,6.017740008936922e-08,1.3521258907730266e-07,0.0008519585411753169,7.857510591761856e-05,0.0004109343404447025,0.0006863449880171035,0.001002956668083752,0.0022535431511256977
"salts, Cr_3",,,,,,,9.939516313602968e-05,9.167095690288245e-06,4.7942339718022575e-05,8.007358193445015e-05,0.0001170116112751538,0.0002629133676284465
"salts, Cu",,,,,,,6.701660808040395e-07,6.180860715232457e-08,3.232484247692379e-07,5.398914483143441e-07,7.889439532335767e-07,1.7726780219014408e-06
"salts, Ni",3.5277679537660577e-09,3.253617719913291e-10,1.7015863181827016e-09,2.8419996243179124e-09,4.153017103157074e-09,9.331413357277748e-09,0.001049930917427276,9.683385875704734e-05,0.0005064244892366123,0.0008458332044494659,0.0012360169700373757,0.002777206300272852
"salts, Pb",4.6095988952744966e-10,4.2513773139037794e-11,2.2233974896607749e-10,3.713531757280398e-10,5.42658794502969e-10,1.2192999445198142e-09,0.0002560888257452808,2.36187626917789e-05,0.00012352208190520374,0.0002063073184230091,0.0003014771059735329,0.000677388853384761
"salts, Zn",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
"salts, V",,,,,,,3.0624595722566285e-05,2.8244694269573845e-06,1.4771491142370927e-05,2.467143266764659e-05,3.6052391052907226e-05,8.100611075672172e-05
"salts, Mn",,,,,,,0.0013996094005639752,0.00012908428236530614,0.0006750886787372512,0.0011275371404029712,0.0016476712341797811,0.003702152189871701
"**Sum, salts",5.510624031750262e-08,5.082381900527814e-09,2.6579986495610815e-08,4.439405208404494e-08,6.487307598702926e-08,1.4576330237910023e-07,0.0036882776098512487,0.0003401653834561489,0.0017790066696089326,0.0029713075573429607,0.004341974924555736,0.009755982651062083
"soil, As",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"soil, Cr_6",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"soil, Cr_3",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
"soil, Cu",,,,,,,2.6989909909686218e-05,0.0,4.3974247860636185e-06,2.0876124350240813e-05,3.793560086834351e-05,7.510744756180704e-05
"soil, Ni",2.5994565892085885e-10,0.0,4.235254905975025e-11,2.0106246808884678e-10,3.6536597555448875e-10,7.233760694885076e-10,7.736477787907077e-05,0.0,1.2604925060962813e-05,5.9840019056625963e-05,0.0001087398714819424,0.00021529049252579365
"soil, Pb",6.127075336529306e-09,0.0,9.98275023558472e-10,4.739163156034658e-09,8.611895528166647e-09,1.7050408507679482e-08,0.0034039307189898667,0.0,0.0005545972314771396,0.0026328684018220713,0.004784386371469534,0.009472449105463803
"soil, Zn",,,,,,,1.8353664953521078e-16,0.0,2.990334589918567e-17,1.4196171574283632e-16,2.5796948210568366e-16,5.107452869151081e-16
"soil, V",,,,,,,2.7301986759767258e-05,0.0,4.44827099045242e-06,2.1117509191869575e-05,3.8374239710212226e-05,7.597589416763672e-05
"soil, Mn",,,,,,,0.0022383339551424785,0.0,0.0003646883315567832,0.001731303962898776,0.003146084733757193,0.00622882961537199
"**Sum, soil",6.387020995450165e-09,0.0,1.0406275726182221e-09,4.940225624123505e-09,8.977261503721135e-09,1.777378457716799e-08,0.005773921348681052,0.0,0.0009407361838714315,0.004466006017319725,0.008115520817287482,0.016067652555091544
"SS, As",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"SS, Cr_6",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"SS, Cr_3",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
"SS, Cu",,,,,,,4.1618362953246905e-05,0.0,1.5712278400926236e-05,3.0253498799654826e-05,5.91790021722658e-05,0.00011686565712611348
"SS, Ni",1.1373966166109691e-08,0.0,4.294040184266529e-09,8.268039570423978e-09,1.617314859807501e-08,3.1938450621563704e-08,0.0033851089096780954,0.0,0.0012779881242822586,0.002460726012954744,0.004813436985597899,0.009505491064542921
"SS, Pb",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"SS, Zn",,,,,,,7.513348009529736e-15,0.0,2.8365319361886702e-15,5.461653194842032e-15,1.0683563855609581e-14,2.1097714807697974e-14
"SS, V",,,,,,,0.0003746802696019173,0.0,0.00014145392296984027,0.00027236508796344994,0.0005327745474656428,0.001052113846198301
"SS, Mn",,,,,,,0.0010756708434619673,0.0,0.0004061005421866325,0.0007819338451168301,0.0015295442363600312,0.003020517172042595
"**Sum, SS",1.1373966166109691e-08,0.0,4.294040184266529e-09,8.268039570423978e-09,1.617314859807501e-08,3.1938450621563704e-08,0.0048770783857027405,0.0,0.0018412548678424941,0.0035452784448401406,0.006934934771606523,0.013694987739931028
"coal, As",3.2444341801454865e-06,0.0,9.137429297370956e-07,2.5788855847939865e-06,4.686961469188458e-06,9.414848988920942e-06,0.05030130508431804,0.0,0.014166557040550962,0.03998272221767042,0.07266606924031364,0.14596665089173097
"coal, Cr_6",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"coal, Cr_3",,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
"coal, Cu",,,,,,,1.2857872688865434e-05,0.0,3.621213933945067e-06,1.022026667434027e-05,1.8574688380869104e-05,3.7311568971021796e-05
"coal, Ni",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"coal, Pb",4.0191173735574216e-08,0.0,1.131920045210145e-08,3.1946537617223376e-08,5.806081191378911e-08,1.1662860468044667e-07,0.02232842969877288,0.0,0.006288444652149059,0.017748076331346393,0.03225600639583295,0.06479366881909059
"coal, Zn",,,,,,,1.753395393395255e-14,0.0,4.938157332803906e-15,1.3937117701886766e-14,2.5329830080657008e-14,5.0880837551605726e-14
