date,AirKorea,SNU,NO3-,SO42-,NH4+,K+,Na+,Cl-,F-,PO43-,Mg2+,Ca2+,OC,EC,Mg,Al,Si,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,As,Se,Pb
2020-04-02,22,29.51824,6.279747523,1.784198032,2.652688974,0.394898682,0.148802402,0.277573711,0.001430792,0.001430792,0.022892677,0.08012437,0.14737161,0.138457043,1.064385074,9.05502862,0.737229898,0.05701,0.11731,0.34948,0.57736,0.92808,0.41414,0.10635,0.00939,,0.00081,0.00724,0.10551,0.0008,0.00678,0.03855
2020-04-05,14,19.7634,1.527449237,0.740841484,1.003997532,0.373281134,0.178774489,0.576368954,0.001430196,0.001430196,0.022883135,0.080090971,0.055777641,0.040070476,1.391988486,8.195416733,0.463585426,0.05887,0.10241,0.21862,0.82088,0.24826,0.36578,0.06364,0.00767,0.00017,0.001,0.01034,0.1342,0.00092,0.00069,0.03467
2020-04-08,11,15.31607,1.021585721,1.387868557,0.821274796,0.266127373,0.266127373,0.223203603,0.001430792,0.001430792,0.065816447,0.163110325,0.045626378,0.045391117,1.005182957,6.480648328,0.468775178,0.04059,0.07129,0.14917,1.64135,0.35794,0.34516,0.04368,0.01079,,0.00205,0.01221,0.12969,0.00097,0.00788,0.05704
2020-04-10,23,33.36113,8.228486672,3.376669892,3.844538982,0.286158465,0.196018549,0.191726172,0.001430792,0.001430792,0.048646939,0.124478932,0.213585499,0.203064816,1.051809481,7.035210196,0.565058936,0.04865,0.11868,0.26546,1.94346,0.38671,0.52132,0.06117,0.01081,0.00018,0.00318,0.0179,0.21487,0.00177,0.01277,0.12298
2020-04-15,32,39.37117,11.21130578,3.652720367,4.562324969,0.383292505,0.181634881,0.158751747,0.001430196,0.002860392,0.03861529,0.131578024,0.253462498,0.256925854,0.98652002,8.665898355,0.838833676,0.03203,0.03799,0.07164,0.90366,0.14774,0.07562,0.02114,0.00402,,0.00127,0.00949,0.08007,0.00121,0.00127,0.02743
2020-04-20,5,9.86111,2.008588,1.5882856,1.1665536,0.14296,0.1615448,0.10722,,0.0014296,0.0257328,0.0629024,0.064808533,0.065485864,0.989656842,2.650509002,0.231813223,0.08223,0.13431,0.30726,1.18118,0.08265,0.1631,0.08076,0.00997,,0.0008,0.00779,0.11432,0.00092,0.00051,0.01995
2020-04-23,7,10.99513,0.755000067,2.096588087,0.76927228,0.114177704,0.286871481,0.048525524,,0.001427221,0.029971647,0.067079401,0.042737349,0.055856339,0.76512979,2.671781737,0.359094674,0.04412,0.08289,0.16668,1.8247,0.49873,0.26372,0.05015,0.00743,0.0005,0.00389,0.02341,0.21541,0.00252,0.01351,0.14494
2020-04-28,18,22.25003,1.038755229,3.880308791,1.765597731,0.0186003,0.520808407,0.118755763,,0.001430792,0.015738716,0.055800901,0.098088763,0.097593883,1.005070807,6.236192066,0.681871712,0.04218,0.09793,0.2501,2.08261,0.16574,0.19671,0.05266,0.00549,0.00027,0.002,0.01215,0.15306,0.00105,0.00831,0.05413
2020-04-30,16,14.87971,6.112344821,3.235021451,3.216421151,0.148802402,0.186003003,0.377729174,,0.001430792,0.022892677,0.087278332,0.178690064,0.165982487,1.076559745,5.626937094,0.818988216,0.02921,0.08422,0.17673,2.43498,0.05428,0.15318,0.03797,0.0045,0.0003,,0.005,0.10693,0.00076,0.0034,0.03684
2020-05-03,15,16.97982,,,,,,,,,,,,,,,,0.07992,0.09828,0.24758,1.9245,0.67425,0.1932,0.07824,0.00733,0.00044,0.00232,0.01315,0.20547,0.00125,0.02289,0.0891
2020-05-05,19,23.93876,5.989966555,3.77006689,3.175585284,0.171822742,0.412625418,0.6659699,,0.002508361,0.057692308,0.0840301,0.176421405,0.175155424,1.007227756,6.455246931,0.780230191,0.03394,0.09795,0.24406,0.81148,0.37575,0.16794,0.07182,0.00668,0.00018,0.00224,0.01299,0.19853,0.00088,0.01398,0.07487
2020-05-07,12,14.06294,1.152882206,1.317042607,1.025062657,0.041353383,0.43358396,0.269423559,,0.003759398,0.010025063,0.088972431,0.056947925,0.046033262,1.237103846,5.969587433,0.771393695,0.0094,0.0353,0.05006,1.08724,0.17971,0.04166,0.01466,,0.00014,0.00093,0.0064,0.06298,0.00086,0.0024,0.03407
2020-05-09,8,9.75882,2.498117942,1.987452949,1.618569636,0.056461731,0.116687578,0.164366374,0.00250941,0.001254705,0.013801757,0.058971142,0.089920535,0.081697495,1.1006523,3.272077031,0.333525395,0.0902,0.16845,0.41047,1.43998,0.20201,0.20227,0.08983,0.01223,0.0005,0.00233,0.01794,0.22167,0.00164,0.00385,0.07196
2020-05-12,15,17.39559,2.840785625,2.648976181,1.791475136,0.110321772,0.254492269,0.169243627,,0.001253656,0.032595069,0.082741329,0.099526396,0.101006127,0.985350094,3.75310147,0.425206015,0.05915,0.15819,0.39097,0.87979,0.20213,0.15337,0.09789,0.01218,0.00019,0.00408,0.02777,0.306,0.00137,0.0164,0.1066
2020-05-14,11,10.72573,0.39506689,1.556438127,0.652173913,0.120401338,0.109113712,0.12541806,0.003762542,0.001254181,0.018812709,0.086538462,0.036231884,0.038797841,0.933863411,5.118649094,0.829617419,0.04436,0.11691,0.21857,3.24336,0.39775,0.195,0.04525,0.00592,0.00059,0.00223,0.01871,0.21118,0.00149,0.00938,0.08663
2020-05-18,37,32.94412,12.27805729,6.303830576,5.935376065,0.239370107,0.101512977,0.030077919,0.001253247,0.010025973,0.035090906,0.114045444,0.329743115,0.329362986,1.001154134,5.743843709,0.513433089,0.01478,0.03002,0.06555,0.16476,0.03678,0.0503,0.02604,,0.00013,0.00084,0.0068,0.07572,0.00067,0.00224,0.03285
2020-05-20,2,5.00626,,,,,,,,,,,,,,2.922491842,0.51953586,0.02453,0.08068,0.17094,1.89922,0.4179,0.06626,0.03549,0.00632,0.00039,0.0021,0.02096,0.20795,0.0015,0.00496,0.06917
2020-05-22,31,33.38898,13.85404504,4.2235196,5.708507089,0.066305254,0.137614679,0.291492911,0.007506255,0.001251043,0.048790659,0.092577148,0.317139283,0.311442331,1.018292156,7.15748033,0.55628092,0.01483,0.04994,0.09243,2.3577,0.107,0.10532,0.03133,0.00475,0.00064,0.00213,0.0171,0.18644,0.00237,0.00309,0.09175
2020-05-26,25,24.75316,12.00125418,5.650083612,5.341555184,0.086538462,0.073996656,0.053929766,,0.001254181,0.026337793,0.055183946,0.296753066,0.311278691,0.953335626,4.012359532,0.460826877,0.02312,0.06699,0.17073,1.70935,0.14667,0.11402,0.03848,0.00504,0.00093,0.00221,0.01667,0.18033,0.00241,0.01112,0.11035
2020-05-28,21,19.19866,6.779448622,3.337092732,3.281954887,0.080200501,0.151629073,0.0839599,,0.001253133,0.018796992,0.038847118,0.182330827,0.178868711,1.019355628,4.566989349,0.445103996,0.03025,0.0692,0.1375,1.52666,0.15338,0.08188,0.04367,0.00471,0.00066,0.00106,0.01171,0.11375,0.00201,0.00103,0.03569
2020-06-01,8,11.54702,1.252402842,2.954868366,1.518178019,0.092770581,0.095277894,0.085248642,,0.001253656,0.015043878,0.032595069,0.084343223,0.081759803,1.031597677,3.190243227,0.268585206,0.05625,0.14138,0.31688,3.16686,0.11391,0.16481,0.0737,0.00936,0.00085,0.00258,0.01764,0.2036,0.00222,0.00461,0.06007
2020-06-03,21,19.33779,1.446246617,5.876473473,3.120584122,0.040103892,0.318324645,0.060155838,,0.00751948,0.030077919,0.110285704,0.173365785,0.145753089,1.189448441,3.747175252,0.400135298,0.0441,0.13032,0.24821,4.03385,0.10373,0.17553,0.05423,0.00849,0.00089,0.00084,0.01028,0.15271,0.00187,0.00199,0.06091
2020-06-07,25,20.59847,1.953634085,9.743107769,4.047619048,0.097744361,0.115288221,0.058897243,,,0.026315789,0.067669173,0.224867725,0.234491639,0.958958391,3.583126123,0.360214914,0.08876,0.25136,0.65389,3.11041,0.17491,0.32445,0.13529,0.01659,0.00058,0.00401,0.0265,0.36401,0.00197,0.01125,0.16165
2020-06-09,29,22.66722,0.450939457,6.450939457,2.366179541,0.191649269,0.144050104,0.070146138,,0.002505219,0.020041754,0.113987474,0.131454419,0.141667789,0.927906194,6.629289804,0.726899651,0.03351,0.10011,0.21706,2.2765,0.1127,0.19236,0.06031,0.00623,0.00033,0.00099,0.00986,0.12125,0.00117,0.00124,0.06001
2020-06-11,17,16.56228,0.294117647,4.886107635,1.806007509,0.147684606,0.127659574,0.076345432,0.001251564,0.001251564,0.018773467,0.067584481,0.100333751,0.106537742,0.941767195,,,0.05433,0.16205,0.40229,2.29905,0.04715,0.19918,0.05947,0.01183,0.00056,0.00202,0.01698,0.23279,0.00169,0.00248,0.07741
2020-06-13,31,24.63466,1.346555324,4.64091858,2.228392484,0.118997912,0.225469729,0.023799582,0.006263048,0.002505219,0.025052192,0.083924843,0.123799582,0.118404438,1.04556539,8.266126033,0.718034227,0.04566,0.11103,0.26404,4.08605,0.11685,0.21681,0.05604,0.00893,0.00086,0.00351,0.02926,0.2977,0.00309,0.01278,0.17482
2020-06-17,36,32.69338,7.138795987,9.772575251,5.392976589,0.163043478,0.170568562,0.057692308,0.001254181,0.005016722,0.099080268,0.171822742,0.29960981,0.318737188,0.939990128,6.253004228,0.622010528,0.02794,0.07208,0.18772,1.76638,0.03491,0.14557,0.0378,0.00555,0.00025,0.00096,0.009,0.11643,0.00107,0.00161,0.03872
2020-06-19,15,12.65999,0.301878914,3.222964509,1.367849687,0.136534447,0.103966597,0.015031315,0.00125261,0.00125261,0.027557411,0.081419624,0.075991649,0.072014109,1.055232796,5.028238142,0.533649273,0.05012,0.11863,0.28456,2.66428,0.032,0.23386,0.05898,0.00836,0.00061,0.00324,0.02158,0.24832,0.00178,0.01472,0.15137
2020-06-23,22,18.07061,0.171894605,5.337515684,1.99749059,0.188205772,0.12923463,0.015056462,0.001254705,0.001254705,0.025094103,0.053952321,0.110971699,0.113970737,0.973685898,5.563526358,0.542229932,0.01851,0.03634,0.04919,1.14437,0.20814,0.03797,0.0162,0.00407,,0.00287,0.02418,0.15953,0.00185,0.00987,0.09912
2020-06-25,10,8.76827,1.582114501,2.126201421,1.31759298,0.099038863,0.189302131,0.238194735,0.010029252,0.001253656,0.02507313,0.057668199,0.07319961,0.069813839,1.048497136,2.531699044,0.286494083,0.00103,0.00012,0.00023,0.00031,0.00725,0.00132,0.00024,0.0001,0.00003,,0.00002,0.00015,0.00001,0.00102,0.00001
