,OC,MF_OC,EC,MF_EC,ABS_ERROR_EC,ABS_ERROR_OC
9210,7.77,7.77,3.3,3.2010999999999994,0.09890000000000043,0.0
9303,3.19,3.19,1.0,1.0517999999999996,0.051799999999999624,0.0
9309,8.13,8.13,3.77,2.3883,1.3817,0.0
9324,7.23,7.23,2.79,1.8003999999999996,0.9896000000000005,0.0
9410,5.39,5.39,1.9,1.8703999999999998,0.02960000000000007,0.0
9419,1.58,1.58,0.48,0.42590000000000017,0.054099999999999815,0.0
9473,2.94,2.94,1.4,0.8754,0.5246,0.0
9486,9.13,9.13,3.36,3.181000000000001,0.17899999999999894,0.0
9651,5.06,5.06,1.66,1.6901,0.030100000000000016,0.0
9660,4.32,4.32,1.74,1.3300000000000003,0.4099999999999997,0.0
9709,6.89,6.89,2.95,2.2917,0.6583000000000001,0.0
9717,3.92,3.92,1.43,0.8809999999999999,0.549,0.0
9782,2.11,2.11,0.65,0.6891000000000002,0.039100000000000135,0.0
9824,3.01,3.01,1.2,1.2659,0.06590000000000007,0.0
9831,4.52,4.52,1.86,1.9805,0.12049999999999983,0.0
9989,1.81,1.81,0.73,0.6648000000000001,0.06519999999999992,0.0
10052,5.64,5.64,1.99,1.5485000000000002,0.4414999999999998,0.0
10109,3.37,3.37,1.41,1.3156000000000008,0.09439999999999915,0.0
10119,3.29,3.29,0.6,0.8728000000000002,0.27280000000000026,0.0
10219,2.4,2.4,1.07,1.0509000000000002,0.019099999999999895,0.0
10250,1.13,1.13,0.55,0.4858000000000001,0.06419999999999992,0.0
10271,2.43,2.43,1.1,0.8713999999999996,0.22860000000000047,0.0
10343,2.23,2.23,0.81,0.6976999999999998,0.11230000000000029,0.0
10452,3.71,3.71,1.07,1.5944000000000003,0.5244000000000002,0.0
10466,5.9,5.9,2.16,2.355300000000002,0.1953000000000018,0.0
10479,3.3,3.3,1.43,1.6028000000000002,0.1728000000000003,0.0
10484,5.39,5.39,1.82,1.9074,0.08739999999999992,0.0
10555,5.4,5.4,1.22,1.3263999999999996,0.1063999999999996,0.0
10571,10.37,10.37,2.38,2.6237999999999992,0.24379999999999935,0.0
10603,5.96,5.96,1.73,1.5584,0.17159999999999997,0.0
10683,11.76,11.76,4.27,4.0452,0.22479999999999922,0.0
10687,12.51,12.51,4.05,4.0343,0.015699999999999825,0.0
10766,3.74,3.74,1.03,1.2578000000000005,0.22780000000000045,0.0
10822,5.46,7.269700000000004,1.56,1.868800000000001,0.30880000000000085,1.8097000000000039
10850,6.98,6.98,1.81,2.025500000000001,0.2155000000000009,0.0
10890,5.85,5.85,1.77,1.5184000000000004,0.2515999999999996,0.0
10962,3.86,3.86,0.86,0.8466000000000006,0.013399999999999412,0.0
10980,4.99,4.99,1.24,1.2440000000000002,0.004000000000000226,0.0
11076,2.94,2.94,0.93,0.9233000000000001,0.006699999999999928,0.0
11109,5.98,5.98,1.78,1.7469000000000006,0.03309999999999946,0.0
11162,5.26,5.26,0.82,0.8241999999999997,0.0041999999999997595,0.0
11172,2.4,2.4,0.66,0.5437999999999998,0.11620000000000019,0.0
11249,3.55,3.55,1.06,1.1637999999999997,0.10379999999999967,0.0
11253,5.65,5.65,1.93,2.4349999999999996,0.5049999999999997,0.0
11291,4.64,4.64,1.91,1.9517999999999998,0.04179999999999984,0.0
11316,4.11,4.11,1.42,1.7475999999999996,0.32759999999999967,0.0
11320,3.66,3.66,0.86,1.2051000000000003,0.3451000000000003,0.0
11328,1.98,1.98,0.76,1.0342999999999996,0.27429999999999954,0.0
11341,2.93,2.93,0.36,0.6199999999999999,0.2599999999999999,0.0
11354,3.01,3.01,0.38,0.7012999999999999,0.3212999999999999,0.0
11377,1.39,1.39,0.32,0.5331000000000001,0.21310000000000012,0.0
11969,3.69,3.69,1.26,1.3361999999999998,0.07619999999999982,0.0
12095,3.4,3.4,1.03,1.3635,0.3334999999999999,0.0
12204,2.17,2.17,0.38,0.6265999999999999,0.24659999999999993,0.0
12214,1.85,1.85,0.67,0.8332999999999999,0.1632999999999999,0.0
